,name,BUSNAME,address_admin,PropAddr,APN,ACCOUNT,BUSTYPE,OWNER,APPRVALUE,ASSDVALUE,secondary_source,notes
195,L27 Rooftop Lounge,OAK STEAKHOUSE,807 CLARK PL,807 CLARK PL,9310003200,168364,Full Service Resturants,NASHVILLE HOSPITALITY CAPITAL LLC,2272590,681777,"[
 {
   ""name"": ""L27 Rooftop Lounge"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""807 CLARK PL"",
   ""PropAddr"": ""807 CLARK PL"",
   ""APN"": 9310003200,
   ""ACCOUNT"": 169702,
   ""BUSTYPE"": ""Equipment Only"",
   ""OWNER"": ""AUDIO VISUAL SERVICES GROUP LLC"",
   ""APPRVALUE"": 60983,
   ""ASSDVALUE"": 18295,
   ""secondary_source"": """"
 },
 {
   ""FIELD1"": 194,
   ""name"": ""L27 Rooftop Lounge"",
   ""BUSNAME"": ""WESTIN NASHVILLE, THE"",
   ""address_admin"": ""807 CLARK PL"",
   ""PropAddr"": ""807 CLARK PL"",
   ""APN"": 9310003200,
   ""ACCOUNT"": 168289,
   ""BUSTYPE"": ""Full Service Hotel"",
   ""OWNER"": ""NASHVILLE HOSPITALITY CAPITAL LLC"",
   ""APPRVALUE"": 7356724,
   ""ASSDVALUE"": 2207017
 }
]",hotel
196,Lab Canna,NA,1106 GALLATIN AVE,NA,8301008700,NA,NA,NA,NA,NA,NA,NA
197,La Costa Mexican Seafood,LA COSTA NAYARITA INC,5332 CANE RIDGE RD,5332 CANE RIDGE RD,16300027400,173333,Small Resturants-Independents,LA COSTA NAYARITA INC,55554,16666,NA,NA
198,Larry's Grand Ole Garage,NA,549 E MAPLE ST,NA,4314003600,NA,NA,NA,NA,NA,NA,NA
206,Las Fogatas,WAVE LOUNGE,5560 NOLENSVILLE PIKE,5560 NOLENSVILLE PIKE,16100030500,170496,Drinking Places (Alcoholic Bev,WAVE LOUNGE,79568,23870,NA,NA
209,Layla's Honky Tonk,BLUEGRASS INN,418 BROADWAY,418 BROADWAY,9306307500,101547,Drinking Places (Alcoholic Bev,LAYLA VARTANIAN,25397,7619,NA,NA
210,Live Oak,LIVE OAK LLC,1530 DEMONBREUN ST,1530 DEMONBREUN ST,9313001000,176429,Drinking Places (Alcoholic Bev,LIVE OAK LLC,62850,18855,NA,NA
211,Los Arcos,LOS ARCOS SEAFOOD + GRILL,3798 NOLENSVILLE PIKE,3798 NOLENSVILLE PIKE,13300011600,142952,Full Service Resturants,JOSE GUTIERREZ,28931,8679,NA,NA
212,Loser Most Wanted Bar & Grill (Downtown),LOSERS DOWNTOWN,111 4TH AVE S,111 4TH AVE S,9306400800,154648,Full Service Resturants,LOSERS DOWNTOWN,138786,41636,NA,NA
219,Lou|Na,LOU NA,1000 BROADWAY,1000 BROADWAY,9309034300,181411,Drinking Places (Alcoholic Bev,LOU NA,58309,17493,NA,NA
221,Lucky Bastard Saloon,FUN EATS AND DRINKS LLC  65041,408 BROADWAY,408 BROADWAY,9306308000,119530,Full Service Resturants,FUN EATS AND DRINKS LLC,77948,23384,NA,NA
222,Luke's 32 Bridge Food & Drink,LUKE BRYAN`S 32 BRIDGE,301 BROADWAY,301 BROADWAY,9306402700,172972,Drinking Places (Alcoholic Bev,TC RESTAURANT GROUP LLC,737437,221231,NA,NA
230,Marisqueria 7 Mares,7 MARES RESTAURANT,931 RICHARDS RD,931 RICHARDS RD,14800029500,126594,Small Resturants-Independents,7 MARES RESTAURANT,6469,1941,NA,NA
235,Maxwell Lounge at Millenium Maxwell House Nashville,MILLENNIUM MAXWELL HOUSE,2025 ROSA L PARKS BLVD,2025 ROSA L PARKS BLVD,8104022200,86873,Full Service Hotel,MILLENNIUM MAXWELL HOUSE,642842,192853,"[
 {
   ""name"": ""Maxwell Lounge at Millenium Maxwell House Nashville"",
   ""BUSNAME"": ""UNITED GIFT SHOP #401"",
   ""address_admin"": ""2025 ROSA L PARKS BLVD"",
   ""PropAddr"": ""2025 ROSA L PARKS BLVD"",
   ""APN"": 8104022200,
   ""ACCOUNT"": 144587,
   ""BUSTYPE"": ""Gift, Novelty, Souvenir Store"",
   ""OWNER"": ""UNITED GIFT SHOP #401"",
   ""APPRVALUE"": 1000,
   ""ASSDVALUE"": 300
 }
]",hotel
237,"Mellow Mushroom 
(Broadway)",MM BROADWAY INC,423 BROADWAY,423 BROADWAY,9306310700,170221,Full Service Resturants,MARK CLARK,330822,99247,NA,NA
238,Mickeys Tavern,SHAMROCK + THISTLE LLC,2907 GALLATIN PIKE,2907 GALLATIN PIKE,7206023400,84497,Drinking Places (Alcoholic Bev,"SHAMROCK & THISTLE, LLC",14574,4372,NA,NA
257,Music City Bar & Grill,MUSIC CITY BAR + GRILL THE,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,6200023300,138847,Drinking Places (Alcoholic Bev,BLAKE KOVRIG,9448,2834,"[
 {
   ""name"": ""Music City Bar & Grill"",
   ""BUSNAME"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 165377,
   ""BUSTYPE"": ""Office Administrative Services"",
   ""OWNER"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""APPRVALUE"": 1000,
   ""ASSDVALUE"": 300
 },
 {
   ""name"": ""Music City Bar & Grill"",
   ""BUSNAME"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 163931,
   ""BUSTYPE"": ""Sound Recording Studios"",
   ""OWNER"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""APPRVALUE"": 11123,
   ""ASSDVALUE"": 3337
 }
]",multiple music venues possible
262,Music City Center,VOLUME SERVICES INC,201 REP JOHN LEWIS WAY S,201 REP JOHN LEWIS WAY S,9310047300,158134,Limited Service-Fast Food,VOLUME SERVICES INC,61987,18596,NA,NA
269,Music City Walk of Fame Park,NA,121 4TH AVE S,121 4TH AVE S,093064B00100CO,NA,NA,NA,NA,NA,"[
 {
   ""name"": ""Music City Walk of Fame Park"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""121 4TH AVE S"",
   ""PropAddr"": ""121 4TH AVE S"",
   ""APN"": ""093064B00100CO"",
   ""ACCOUNT"": 162999,
   ""BUSTYPE"": ""Engineering Services"",
   ""OWNER"": ""ENCORE ENCORE GROUP USA LLC"",
   ""APPRVALUE"": 67049,
   ""ASSDVALUE"": 20115
 },
 {
   ""name"": ""Music City Walk of Fame Park"",
   ""BUSNAME"": ""ENCORE GROUP USA LLC"",
   ""address_admin"": ""121 4TH AVE S"",
   ""PropAddr"": ""121 4TH AVE S"",
   ""APN"": ""093064B00100CO"",
   ""ACCOUNT"": 178406,
   ""BUSTYPE"": ""Equipment Only"",
   ""OWNER"": ""AUDIO VISUAL SERVICES GOUP LLC"",
   ""APPRVALUE"": 147004,
   ""ASSDVALUE"": 44101
 }
]",park
272,Musicians Corner,NA,2500 WEST END AVE,NA,9214007600,NA,NA,NA,NA,NA,NA,park
273,Nashville Farmers' Market,NA,900 ROSA L PARKS BLVD,900 ROSA L PARKS BLVD,8213036600,NA,NA,NA,NA,NA,NA,NA
293,Nashville Jazz Workshop,NA,1012 BUCHANAN ST,NA,8107051800,NA,NA,NA,NA,NA,NA,NA
294,Nashville Municipal Auditorium,MUSICIANS HALL OF FAME AND MUSEUM,417 4TH AVE N,417 4TH AVE N,9302001300,145973,Office Administrative Services,MUSICIANS HALL OF FAME AND MUSEUM,6890,2067,NA,NA
